0,1,2,3,4,5
Dobong-gu,2023-01-01,832,Gwanak-gu,2023-04-09,20.0
Eunpyeong-gu,2023-01-01,8,Gangseo-gu,2023-04-09,29.0
Yangcheon-gu,2023-01-01,555,Eunpyeong-gu,2023-04-09,15.0
Gangbuk-gu,2023-01-01,457,Songpa-gu,2023-04-09,8.0
Songpa-gu,2023-01-01,122,Seodaemun-gu,2023-04-09,2.0
Gangdong-gu,2023-01-01,510,Seocho-gu,2023-04-09,93.0
Seoul_Grand_Park,2023-01-01,0,Mapo-gu,2023-04-09,11.0
Gangnam-gu,2023-01-01,443,Seongdong-gu,2023-04-09,12.0
Gangseo-gu,2023-01-01,234,Yangcheon-gu,2023-04-09,9.0
Seongdong-gu,2023-01-01,5,Gwangjin-gu,2023-04-09,84.0
Geumcheon-gu,2023-01-01,540,Gangdong-gu,2023-04-09,21.0
Seodaemun-gu,2023-01-01,4,Yongsan-gu,2023-04-09,1.0
Guro-gu,2023-01-01,728,Jongno-gu,2023-04-09,4.0
Seocho-gu,2023-01-01,77,Jung-gu,2023-04-09,315.0
Gwanak-gu,2023-01-01,209,Gangbuk-gu,2023-04-09,9.0
Nowon-gu,2023-01-01,380,Gangnam-gu,2023-04-09,135.0
Gwangjin-gu,2023-01-01,368,Seoul_Grand_Park,2023-04-09,0.0
Mapo-gu,2023-01-01,281,Yongsan-gu,2023-04-10,298.0
Jongno-gu,2023-01-01,10,Jongno-gu,2023-04-10,3981.0
Jung-gu,2023-01-01,195,Gangseo-gu,2023-04-10,7681.0
Yongsan-gu,2023-01-01,0,Eunpyeong-gu,2023-04-10,2786.0
Dongjak-gu,2023-01-01,646,Songpa-gu,2023-04-10,2406.0
Jungnang-gu,2023-01-01,277,Seoul_Grand_Park,2023-04-10,5847.0
Eunpyeong-gu,2023-01-02,4700,Gangbuk-gu,2023-04-10,2423.0
Seocho-gu,2023-01-02,54284,Mapo-gu,2023-04-10,1231.0
Gwanak-gu,2023-01-02,28760,Gangdong-gu,2023-04-10,5461.0
Dobong-gu,2023-01-02,120956,Jung-gu,2023-04-10,29327.0
Jung-gu,2023-01-02,72800,Gwangjin-gu,2023-04-10,7610.0
Guro-gu,2023-01-02,131746,Gwanak-gu,2023-04-10,2248.0
Yongsan-gu,2023-01-02,483,Yangcheon-gu,2023-04-10,2644.0
Gangnam-gu,2023-01-02,106075,Seongdong-gu,2023-04-10,1810.0
Jongno-gu,2023-01-02,5845,Gangnam-gu,2023-04-10,19403.0
Geumcheon-gu,2023-01-02,101304,Seocho-gu,2023-04-10,25398.0
Seoul_Grand_Park,2023-01-02,5041,Seodaemun-gu,2023-04-10,3229.0
Gangseo-gu,2023-01-02,53630,Gwangjin-gu,2023-04-11,6944.0
Seongdong-gu,2023-01-02,1834,Jung-gu,2023-04-11,25351.0
Mapo-gu,2023-01-02,98101,Gangnam-gu,2023-04-11,18998.0
Dongjak-gu,2023-01-02,120539,Gangdong-gu,2023-04-11,4452.0
Jungnang-gu,2023-01-02,44574,Gangbuk-gu,2023-04-11,1830.0
Gwangjin-gu,2023-01-02,73635,Seongdong-gu,2023-04-11,1167.0
Yangcheon-gu,2023-01-02,98736,Seocho-gu,2023-04-11,20045.0
Nowon-gu,2023-01-02,51635,Yongsan-gu,2023-04-11,251.0
Gangdong-gu,2023-01-02,99662,Gwanak-gu,2023-04-11,1547.0
Songpa-gu,2023-01-02,23674,Seodaemun-gu,2023-04-11,2575.0
Seodaemun-gu,2023-01-02,5626,Songpa-gu,2023-04-11,1017.0
Gangbuk-gu,2023-01-02,89343,Seoul_Grand_Park,2023-04-11,2107.0
Mapo-gu,2023-01-03,100446,Eunpyeong-gu,2023-04-11,2098.0
Seocho-gu,2023-01-03,56720,Mapo-gu,2023-04-11,1050.0
Gwanak-gu,2023-01-03,29614,Jongno-gu,2023-04-11,2187.0
Guro-gu,2023-01-03,130220,Yangcheon-gu,2023-04-11,2119.0
Nowon-gu,2023-01-03,51457,Gangseo-gu,2023-04-11,6792.0
Gangbuk-gu,2023-01-03,88803,Gangnam-gu,2023-04-12,16476.0
Yongsan-gu,2023-01-03,487,Seodaemun-gu,2023-04-12,2182.0
Songpa-gu,2023-01-03,24305,Seongdong-gu,2023-04-12,1514.0
Dobong-gu,2023-01-03,118727,Songpa-gu,2023-04-12,1039.0
Geumcheon-gu,2023-01-03,107623,Gwanak-gu,2023-04-12,2159.0
Gangdong-gu,2023-01-03,99658,Mapo-gu,2023-04-12,1175.0
Seoul_Grand_Park,2023-01-03,5845,Gwangjin-gu,2023-04-12,8611.0
Dongjak-gu,2023-01-03,123901,Gangbuk-gu,2023-04-12,2567.0
Eunpyeong-gu,2023-01-03,4323,Jung-gu,2023-04-12,31276.0
Seongdong-gu,2023-01-03,2153,Seocho-gu,2023-04-12,18191.0
Yangcheon-gu,2023-01-03,100400,Gangdong-gu,2023-04-12,4743.0
Seodaemun-gu,2023-01-03,5692,Yongsan-gu,2023-04-12,276.0
Gangnam-gu,2023-01-03,109680,Yangcheon-gu,2023-04-12,2929.0
Jongno-gu,2023-01-03,5123,Eunpyeong-gu,2023-04-12,2145.0
Gwangjin-gu,2023-01-03,76371,Jongno-gu,2023-04-12,3352.0
Jung-gu,2023-01-03,72629,Seoul_Grand_Park,2023-04-12,4094.0
Jungnang-gu,2023-01-03,45286,Gangseo-gu,2023-04-12,7042.0
Gangseo-gu,2023-01-03,53613,Jongno-gu,2023-04-13,3862.0
Mapo-gu,2023-01-04,97190,Gwangjin-gu,2023-04-13,7530.0
Yongsan-gu,2023-01-04,559,Gangbuk-gu,2023-04-13,2071.0
Seodaemun-gu,2023-01-04,6050,Jung-gu,2023-04-13,26927.0
Seongdong-gu,2023-01-04,2482,Gangdong-gu,2023-04-13,5229.0
Seoul_Grand_Park,2023-01-04,6303,Seocho-gu,2023-04-13,26586.0
Gwanak-gu,2023-01-04,29538,Gangnam-gu,2023-04-13,23875.0
Yangcheon-gu,2023-01-04,100275,Seongdong-gu,2023-04-13,2013.0
Gangdong-gu,2023-01-04,97979,Gwanak-gu,2023-04-13,2262.0
Guro-gu,2023-01-04,127810,Yangcheon-gu,2023-04-13,2449.0
Eunpyeong-gu,2023-01-04,4879,Seodaemun-gu,2023-04-13,3057.0
Dongjak-gu,2023-01-04,142439,Eunpyeong-gu,2023-04-13,2688.0
Dobong-gu,2023-01-04,114711,Gangseo-gu,2023-04-13,8255.0
Songpa-gu,2023-01-04,25816,Yongsan-gu,2023-04-13,230.0
Seocho-gu,2023-01-04,58724,Songpa-gu,2023-04-13,1651.0
Gangbuk-gu,2023-01-04,88710,Seoul_Grand_Park,2023-04-13,6133.0
Jung-gu,2023-01-04,73077,Mapo-gu,2023-04-13,1415.0
Geumcheon-gu,2023-01-04,104981,Mapo-gu,2023-04-14,1211.0
Jungnang-gu,2023-01-04,45520,Jongno-gu,2023-04-14,3095.0
Gangseo-gu,2023-01-04,54270,Seocho-gu,2023-04-14,19689.0
Nowon-gu,2023-01-04,54033,Eunpyeong-gu,2023-04-14,2287.0
Gangnam-gu,2023-01-04,113975,Yongsan-gu,2023-04-14,314.0
Jongno-gu,2023-01-04,5450,Gangdong-gu,2023-04-14,4122.0
Gwangjin-gu,2023-01-04,75125,Gangnam-gu,2023-04-14,17631.0
Gwanak-gu,2023-01-05,30497,Seoul_Grand_Park,2023-04-14,5731.0
Geumcheon-gu,2023-01-05,108462,Seodaemun-gu,2023-04-14,2559.0
Jongno-gu,2023-01-05,6803,Gwanak-gu,2023-04-14,2558.0
Seoul_Grand_Park,2023-01-05,6058,Songpa-gu,2023-04-14,1741.0
Gangnam-gu,2023-01-05,112966,Gangseo-gu,2023-04-14,5998.0
Gangseo-gu,2023-01-05,56523,Gangbuk-gu,2023-04-14,2303.0
Jung-gu,2023-01-05,72064,Seongdong-gu,2023-04-14,2113.0
Eunpyeong-gu,2023-01-05,4817,Jung-gu,2023-04-14,31499.0
Songpa-gu,2023-01-05,25661,Yangcheon-gu,2023-04-14,2635.0
Mapo-gu,2023-01-05,103084,Gwangjin-gu,2023-04-14,8065.0
Jungnang-gu,2023-01-05,45183,Jongno-gu,2023-04-15,5242.0
Gwangjin-gu,2023-01-05,75593,Gwangjin-gu,2023-04-15,8620.0
Dobong-gu,2023-01-05,119399,Yongsan-gu,2023-04-15,390.0
Nowon-gu,2023-01-05,53673,Jung-gu,2023-04-15,38983.0
Guro-gu,2023-01-05,131873,Seongdong-gu,2023-04-15,3389.0
Gangbuk-gu,2023-01-05,91631,Yangcheon-gu,2023-04-15,2627.0
