자치구,측정날짜,방문자수,SIG_CD
Dobong-gu,2023-01-01,832.0,11320
Eunpyeong-gu,2023-01-01,8.0,11380
Yangcheon-gu,2023-01-01,555.0,11470
Gangbuk-gu,2023-01-01,457.0,11305
Songpa-gu,2023-01-01,122.0,11710
Gangdong-gu,2023-01-01,510.0,11740
Gangnam-gu,2023-01-01,443.0,11680
Gangseo-gu,2023-01-01,234.0,11500
Seongdong-gu,2023-01-01,5.0,11200
Geumcheon-gu,2023-01-01,540.0,11545
Seodaemun-gu,2023-01-01,4.0,11410
Guro-gu,2023-01-01,728.0,11530
Seocho-gu,2023-01-01,77.0,11650
Gwanak-gu,2023-01-01,209.0,11620
Nowon-gu,2023-01-01,380.0,11350
Gwangjin-gu,2023-01-01,368.0,11215
Mapo-gu,2023-01-01,281.0,11440
Jongno-gu,2023-01-01,10.0,11110
Jung-gu,2023-01-01,195.0,11140
Yongsan-gu,2023-01-01,0.0,11170
Dongjak-gu,2023-01-01,646.0,11590
Jungnang-gu,2023-01-01,277.0,11260
Eunpyeong-gu,2023-01-02,4700.0,11380
Seocho-gu,2023-01-02,54284.0,11650
Gwanak-gu,2023-01-02,28760.0,11620
Dobong-gu,2023-01-02,120956.0,11320
Jung-gu,2023-01-02,72800.0,11140
Guro-gu,2023-01-02,131746.0,11530
Yongsan-gu,2023-01-02,483.0,11170
Gangnam-gu,2023-01-02,106075.0,11680
Jongno-gu,2023-01-02,5845.0,11110
Geumcheon-gu,2023-01-02,101304.0,11545
Gangseo-gu,2023-01-02,53630.0,11500
Seongdong-gu,2023-01-02,1834.0,11200
Mapo-gu,2023-01-02,98101.0,11440
Dongjak-gu,2023-01-02,120539.0,11590
Jungnang-gu,2023-01-02,44574.0,11260
Gwangjin-gu,2023-01-02,73635.0,11215
Yangcheon-gu,2023-01-02,98736.0,11470
Nowon-gu,2023-01-02,51635.0,11350
Gangdong-gu,2023-01-02,99662.0,11740
Songpa-gu,2023-01-02,23674.0,11710
Seodaemun-gu,2023-01-02,5626.0,11410
Gangbuk-gu,2023-01-02,89343.0,11305
Mapo-gu,2023-01-03,100446.0,11440
Seocho-gu,2023-01-03,56720.0,11650
Gwanak-gu,2023-01-03,29614.0,11620
Guro-gu,2023-01-03,130220.0,11530
Nowon-gu,2023-01-03,51457.0,11350
Gangbuk-gu,2023-01-03,88803.0,11305
Yongsan-gu,2023-01-03,487.0,11170
Songpa-gu,2023-01-03,24305.0,11710
Dobong-gu,2023-01-03,118727.0,11320
Geumcheon-gu,2023-01-03,107623.0,11545
Gangdong-gu,2023-01-03,99658.0,11740
Dongjak-gu,2023-01-03,123901.0,11590
Eunpyeong-gu,2023-01-03,4323.0,11380
Seongdong-gu,2023-01-03,2153.0,11200
Yangcheon-gu,2023-01-03,100400.0,11470
Seodaemun-gu,2023-01-03,5692.0,11410
