자치구,측정날짜,방문자수
Gwanak-gu,2023-04-09,20
Gangseo-gu,2023-04-09,29
Eunpyeong-gu,2023-04-09,15
Songpa-gu,2023-04-09,8
Seodaemun-gu,2023-04-09,2
Seocho-gu,2023-04-09,93
Mapo-gu,2023-04-09,11
Seongdong-gu,2023-04-09,12
Yangcheon-gu,2023-04-09,9
Gwangjin-gu,2023-04-09,84
Gangdong-gu,2023-04-09,21
Yongsan-gu,2023-04-09,1
Jongno-gu,2023-04-09,4
Jung-gu,2023-04-09,315
Gangbuk-gu,2023-04-09,9
Gangnam-gu,2023-04-09,135
Seoul_Grand_Park,2023-04-09,0
Yongsan-gu,2023-04-10,298
Jongno-gu,2023-04-10,3981
Gangseo-gu,2023-04-10,7681
Eunpyeong-gu,2023-04-10,2786
Songpa-gu,2023-04-10,2406
Seoul_Grand_Park,2023-04-10,5847
Gangbuk-gu,2023-04-10,2423
Mapo-gu,2023-04-10,1231
Gangdong-gu,2023-04-10,5461
Jung-gu,2023-04-10,29327
Gwangjin-gu,2023-04-10,7610
Gwanak-gu,2023-04-10,2248
Yangcheon-gu,2023-04-10,2644
Seongdong-gu,2023-04-10,1810
Gangnam-gu,2023-04-10,19403
Seocho-gu,2023-04-10,25398
Seodaemun-gu,2023-04-10,3229
Gwangjin-gu,2023-04-11,6944
Jung-gu,2023-04-11,25351
Gangnam-gu,2023-04-11,18998
Gangdong-gu,2023-04-11,4452
Gangbuk-gu,2023-04-11,1830
Seongdong-gu,2023-04-11,1167
Seocho-gu,2023-04-11,20045
Yongsan-gu,2023-04-11,251
Gwanak-gu,2023-04-11,1547
Seodaemun-gu,2023-04-11,2575
Songpa-gu,2023-04-11,1017
Seoul_Grand_Park,2023-04-11,2107
Eunpyeong-gu,2023-04-11,2098
Mapo-gu,2023-04-11,1050
Jongno-gu,2023-04-11,2187
Yangcheon-gu,2023-04-11,2119
Gangseo-gu,2023-04-11,6792
Gangnam-gu,2023-04-12,16476
Seodaemun-gu,2023-04-12,2182
Seongdong-gu,2023-04-12,1514
Songpa-gu,2023-04-12,1039
Gwanak-gu,2023-04-12,2159
Mapo-gu,2023-04-12,1175
Gwangjin-gu,2023-04-12,8611
Gangbuk-gu,2023-04-12,2567
Jung-gu,2023-04-12,31276
Seocho-gu,2023-04-12,18191
Gangdong-gu,2023-04-12,4743
Yongsan-gu,2023-04-12,276
Yangcheon-gu,2023-04-12,2929
Eunpyeong-gu,2023-04-12,2145
Jongno-gu,2023-04-12,3352
Seoul_Grand_Park,2023-04-12,4094
Gangseo-gu,2023-04-12,7042
Jongno-gu,2023-04-13,3862
Gwangjin-gu,2023-04-13,7530
Gangbuk-gu,2023-04-13,2071
Jung-gu,2023-04-13,26927
Gangdong-gu,2023-04-13,5229
Seocho-gu,2023-04-13,26586
Gangnam-gu,2023-04-13,23875
Seongdong-gu,2023-04-13,2013
Gwanak-gu,2023-04-13,2262
Yangcheon-gu,2023-04-13,2449
Seodaemun-gu,2023-04-13,3057
Eunpyeong-gu,2023-04-13,2688
Gangseo-gu,2023-04-13,8255
Yongsan-gu,2023-04-13,230
Songpa-gu,2023-04-13,1651
Seoul_Grand_Park,2023-04-13,6133
Mapo-gu,2023-04-13,1415
Mapo-gu,2023-04-14,1211
Jongno-gu,2023-04-14,3095
Seocho-gu,2023-04-14,19689
Eunpyeong-gu,2023-04-14,2287
Yongsan-gu,2023-04-14,314
Gangdong-gu,2023-04-14,4122
Gangnam-gu,2023-04-14,17631
Seoul_Grand_Park,2023-04-14,5731
Seodaemun-gu,2023-04-14,2559
Gwanak-gu,2023-04-14,2558
Songpa-gu,2023-04-14,1741
Gangseo-gu,2023-04-14,5998
Gangbuk-gu,2023-04-14,2303
Seongdong-gu,2023-04-14,2113
Jung-gu,2023-04-14,31499
Yangcheon-gu,2023-04-14,2635
Gwangjin-gu,2023-04-14,8065
Jongno-gu,2023-04-15,5242
