,Date,Gu,PM10,PM2.5,O3,NO2,CO,SO2
0,2023-01-01,중랑구,52.0,39.0,0.021,0.03,0.7,0.003
1,2023-01-01,중구,54.0,46.0,0.026,0.023,0.6,0.004
2,2023-01-01,종로구,53.0,42.0,0.025,0.022,0.7,0.004
3,2023-01-01,은평구,55.0,37.0,0.023,0.021,0.8,0.004
4,2023-01-01,용산구,50.0,37.0,0.024,0.019,0.6,0.004
5,2023-01-01,영등포구,51.0,34.0,0.023,0.023,0.6,0.004
6,2023-01-01,양천구,53.0,39.0,0.02,0.023,0.6,0.003
7,2023-01-01,송파구,51.0,35.0,0.018,0.03,0.7,0.003
8,2023-01-01,성북구,45.0,34.0,0.021,0.03,0.8,0.004
9,2023-01-01,성동구,53.0,33.0,0.022,0.027,0.6,0.003
10,2023-01-01,서초구,52.0,37.0,0.024,0.018,0.5,0.003
11,2023-01-01,서대문구,53.0,37.0,0.022,0.024,0.7,0.005
12,2023-01-01,마포구,49.0,40.0,0.02,0.023,0.6,0.003
13,2023-01-01,동작구,56.0,41.0,0.025,0.022,0.6,0.004
14,2023-01-01,동대문구,52.0,37.0,0.024,0.023,0.7,0.004
15,2023-01-01,도봉구,43.0,32.0,0.029,0.02,0.7,0.003
16,2023-01-01,노원구,51.0,39.0,0.022,0.031,0.7,0.004
17,2023-01-01,금천구,47.0,38.0,0.024,0.023,0.6,0.004
18,2023-01-01,구로구,53.0,35.0,0.021,0.019,0.4,0.003
19,2023-01-01,광진구,48.0,36.0,0.018,0.018,0.8,0.003
20,2023-01-01,관악구,54.0,35.0,0.02,0.025,0.6,0.003
21,2023-01-01,강서구,62.0,38.0,0.025,0.021,0.6,0.004
22,2023-01-01,강북구,51.0,34.0,0.026,,0.7,0.004
23,2023-01-01,강동구,56.0,43.0,0.017,0.027,0.7,0.003
24,2023-01-01,강남구,52.0,36.0,0.024,0.024,0.6,0.004
25,2023-01-01,평균,52.0,37.0,0.0226,0.0236,0.65,0.0036
26,2023-01-02,중랑구,23.0,13.0,0.0195,0.0232,0.42,0.0029
27,2023-01-02,중구,23.0,14.0,0.0265,0.019,0.43,0.0031
28,2023-01-02,종로구,24.0,14.0,0.0239,0.0169,0.42,0.0031
29,2023-01-02,은평구,23.0,7.0,0.0216,0.016,0.62,0.0038
30,2023-01-02,용산구,25.0,14.0,0.021,0.0166,0.49,0.0033
31,2023-01-02,영등포구,22.0,9.0,0.0188,0.0188,0.43,0.0031
32,2023-01-02,양천구,26.0,12.0,0.0177,0.0188,0.44,0.0027
33,2023-01-02,송파구,27.0,13.0,0.0169,0.0256,0.51,0.003
34,2023-01-02,성북구,20.0,10.0,0.02,0.0223,0.51,0.0036
35,2023-01-02,성동구,25.0,11.0,0.0186,0.0239,0.42,0.0032
36,2023-01-02,서초구,23.0,8.0,0.0199,0.0186,0.29,0.0032
37,2023-01-02,서대문구,23.0,9.0,0.0205,0.0178,0.35,0.0038
38,2023-01-02,마포구,21.0,10.0,0.0193,0.0175,0.47,0.0026
39,2023-01-02,동작구,27.0,14.0,0.0187,0.0214,0.41,0.003
40,2023-01-02,동대문구,24.0,12.0,0.0235,0.0169,0.45,0.0035
41,2023-01-02,도봉구,21.0,10.0,0.0287,0.013,0.38,0.0028
42,2023-01-02,노원구,25.0,14.0,0.0223,0.0212,0.45,0.0033
43,2023-01-02,금천구,23.0,14.0,0.0188,0.0243,0.49,0.0035
44,2023-01-02,구로구,25.0,8.0,0.0186,0.0163,0.28,0.0032
45,2023-01-02,광진구,21.0,12.0,0.0173,0.0118,0.53,0.002
46,2023-01-02,관악구,26.0,11.0,0.0183,0.0209,0.45,0.0031
47,2023-01-02,강서구,32.0,11.0,0.022,0.0176,0.44,0.0034
48,2023-01-02,강북구,22.0,11.0,0.0207,0.008,0.49,0.0022
49,2023-01-02,강동구,26.0,13.0,0.0173,0.0194,0.38,0.0028
50,2023-01-02,강남구,24.0,11.0,0.0212,0.0206,0.43,0.0034
51,2023-01-02,평균,24.0,11.0,0.0205,0.0187,0.44,0.0031
52,2023-01-03,중랑구,32.0,20.0,0.0157,0.0295,0.52,0.0027
53,2023-01-03,중구,28.0,20.0,0.0181,0.0309,0.54,0.0032
54,2023-01-03,종로구,29.0,19.0,0.0146,0.0305,0.63,0.0034
55,2023-01-03,은평구,26.0,11.0,0.015,0.0243,0.7,0.0035
56,2023-01-03,용산구,28.0,17.0,0.0149,0.0262,0.55,0.0034
57,2023-01-03,영등포구,28.0,15.0,0.0137,0.0301,0.52,0.0032
58,2023-01-03,양천구,30.0,17.0,0.0129,0.0283,0.53,0.0027
59,2023-01-03,송파구,31.0,18.0,0.0121,0.0352,0.6,0.0029
60,2023-01-03,성북구,28.0,17.0,0.0135,0.034,0.69,0.0039
61,2023-01-03,성동구,29.0,13.0,0.0135,0.0324,0.49,0.0032
62,2023-01-03,서초구,27.0,12.0,0.0114,0.0329,0.38,0.0032
63,2023-01-03,서대문구,29.0,15.0,0.0135,0.0307,0.77,0.0065
64,2023-01-03,마포구,28.0,19.0,0.011,0.0297,0.55,0.003
65,2023-01-03,동작구,28.0,17.0,0.0109,0.0332,0.51,0.0027
66,2023-01-03,동대문구,30.0,17.0,0.0164,0.0296,0.59,0.0038
67,2023-01-03,도봉구,26.0,15.0,0.0194,0.0259,0.54,0.0025
68,2023-01-03,노원구,35.0,22.0,0.0156,0.0349,0.62,0.0037
