Date,Gu,PM10,id
2023-01-16,Jungnang-gu,23.0,11260
2023-01-16,Jung-gu,,11140
2023-01-16,Jongno-gu,21.0,11110
2023-01-16,Eunpyeong-gu,21.0,11380
2023-01-16,Yongsan-gu,22.0,11170
2023-01-16,Yeongdeungpo-gu,19.0,11560
2023-01-16,Yangcheon-gu,22.0,11470
2023-01-16,Songpa-gu,24.0,11710
2023-01-16,Seongbuk-gu,22.0,11290
2023-01-16,Seongdong-gu,24.0,11200
2023-01-16,Seocho-gu,20.0,11650
2023-01-16,Seodaemun-gu,20.0,11410
2023-01-16,Mapo-gu,20.0,11440
2023-01-16,Dongjak-gu,22.0,11590
2023-01-16,Dongdaemun-gu,22.0,11230
2023-01-16,Dobong-gu,16.0,11320
2023-01-16,Nowon-gu,24.0,11350
2023-01-16,Geumcheon-gu,20.0,11545
2023-01-16,Guro-gu,19.0,11530
2023-01-16,Gwangjin-gu,22.0,11215
2023-01-16,Gwanak-gu,21.0,11620
2023-01-16,Gangseo-gu,27.0,11500
2023-01-16,Gangbuk-gu,22.0,11305
2023-01-16,Gangdong-gu,25.0,11740
2023-01-16,Gangnam-gu,22.0,11680
2023-01-16,,22.0,
