date,name,PM10,PM2.5,O3,NO2,CO,SO2
2023-07-02,평균,19,13,0.0373,0.0112,0.35,0.0026
2023-07-02,강남구,21,15,0.0431,0.0132,0.33,0.0031
2023-07-02,강동구,22,15,0.0344,0.0105,0.36,0.0024
2023-07-02,강북구,24,15,0.0369,0.0051,0.34,0.0021
2023-07-02,강서구,19,12,0.0329,0.0121,0.38,0.0027
2023-07-02,관악구,22,13,0.0396,0.0129,0.37,0.0027
2023-07-02,광진구,21,14,0.0419,0.013,0.24,0.0031
2023-07-02,구로구,11,7,0.0332,0.0091,0.28,0.0022
2023-07-02,금천구,22,15,0.0314,0.0113,0.39,0.003
2023-07-02,노원구,22,14,0.0352,0.0092,0.37,0.0027
2023-07-02,도봉구,14,11,0.043,0.0055,0.29,0.0016
2023-07-02,동대문구,22,14,0.0403,0.0101,0.37,0.003
2023-07-02,동작구,21,15,0.0419,0.011,0.32,0.0026
2023-07-02,마포구,18,12,0.0356,0.0137,0.38,0.0028
2023-07-02,서대문구,17,9,0.034,0.0101,0.39,0.0024
2023-07-02,서초구,18,9,0.0392,0.0132,0.35,0.0029
2023-07-02,성동구,20,14,0.04,0.0133,0.34,0.0027
2023-07-02,성북구,20,12,0.0382,0.01,0.37,0.0027
2023-07-02,송파구,23,16,0.0472,0.0131,0.39,0.0025
2023-07-02,양천구,19,12,0.0329,0.0114,0.38,0.0027
2023-07-02,영등포구,17,10,0.0366,0.0127,0.35,0.0025
2023-07-02,용산구,20,16,0.0434,0.0126,0.41,0.003
2023-07-02,은평구,17,15,0.0241,0.0072,0.44,0.0024
2023-07-02,종로구,18,12,0.0366,0.0104,0.37,0.0026
2023-07-02,중구,15,13,0.034,0.0124,0.35,0.0025
2023-07-02,중랑구,21,15,0.0374,0.0178,0.3,0.0023
2023-07-01,평균,27,18,0.0477,0.014,0.41,0.0027
2023-07-01,강남구,29,21,0.0534,0.0184,0.39,0.0032
2023-07-01,강동구,29,18,0.0396,0.0123,0.41,0.0025
2023-07-01,강북구,30,19,0.0412,0.0069,0.39,0.0022
2023-07-01,강서구,22,16,0.0474,0.0121,0.4,0.0027
2023-07-01,관악구,33,19,0.0514,0.0198,0.48,0.003
2023-07-01,광진구,27,19,0.0524,0.0139,0.29,0.0031
2023-07-01,구로구,21,13,0.0443,0.0135,0.34,0.0026
2023-07-01,금천구,34,21,0.0427,0.0137,0.47,0.0029
2023-07-01,노원구,27,18,0.0406,0.0105,0.41,0.0027
2023-07-01,도봉구,21,15,0.0507,0.0071,0.34,0.0017
2023-07-01,동대문구,29,19,0.052,0.0113,0.41,0.0031
2023-07-01,동작구,30,21,0.0533,0.0153,0.41,0.0026
2023-07-01,마포구,24,16,0.0487,0.0153,0.4,0.0028
2023-07-01,서대문구,24,13,0.0455,0.0111,0.44,0.0025
2023-07-01,서초구,27,14,0.0498,0.0185,0.4,0.0029
2023-07-01,성동구,27,20,0.0516,0.0169,0.39,0.0033
2023-07-01,성북구,27,16,0.0455,0.0122,0.42,0.0028
