LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC
AGO,1960,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1961,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1962,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1963,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1964,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1965,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1966,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1967,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1968,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1969,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1970,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1971,0.0,1.887727,0.0,0.0,0.0,0.0
AGO,1972,0.0,2.795734,0.0,0.0,0.0,0.0
AGO,1973,0.0,2.539131,0.0,0.0,0.0,0.0
AGO,1974,0.0,2.583837,0.0,0.0,0.0,0.0
AGO,1975,0.0,2.235802,0.0,0.0,0.0,0.0
AGO,1976,0.0,2.209556,0.0,0.0,0.0,0.0
AGO,1977,0.0,1.7065409999999999,0.0,0.0,0.0,0.0
AGO,1978,0.0,2.9062230000000002,0.0,0.0,0.0,0.0
AGO,1979,0.0,2.8599859999999997,0.0,0.0,0.0,0.0
AGO,1980,0.0,2.978145,0.0,0.0,0.0,0.0
AGO,1981,0.0,2.8129020000000002,0.0,0.0,0.0,0.0
AGO,1982,0.0,2.448075,0.0,0.0,0.0,0.0
AGO,1983,0.0,2.571053,0.0,0.0,0.0,0.0
AGO,1984,0.0,2.458183,0.0,0.0,0.0,0.0
AGO,1985,0.0,3.097595,0.0,0.0,0.0,0.0
AGO,1986,0.0,3.041552,0.0,0.0,0.0,0.0
AGO,1987,0.0,3.119332,0.0,0.0,0.0,0.0
AGO,1988,0.0,3.504568,0.0,0.0,0.0,0.0
AGO,1989,0.0,3.594776,0.0,0.0,0.0,0.0
AGO,1990,0.0,20.132267,0.0,0.0,0.0,0.0
AGO,1991,0.0,20.023414,0.0,0.0,0.0,0.0
AGO,1992,0.0,19.430286000000002,0.0,0.0,0.0,0.0
AGO,1993,0.0,15.205733,0.0,0.0,0.0,0.0
AGO,1994,0.0,15.41085,0.0,0.0,0.0,0.0
AGO,1995,0.0,17.603613,0.0,0.0,0.0,0.0
AGO,1996,0.0,18.701566,0.0,0.0,0.0,0.0
AGO,1997,0.0,19.373508,0.0,0.0,0.0,0.0
AGO,1998,0.0,21.893818000000003,0.0,0.0,0.0,0.0
AGO,1999,0.0,19.462941999999998,0.0,0.0,0.0,0.0
AGO,2000,0.0,20.12338,0.0,0.0,0.0,0.0
AGO,2001,0.0,19.922717,0.0,0.0,0.0,0.0
AGO,2002,0.0,20.983133,0.0,0.0,0.0,0.0
AGO,2003,0.0,19.625044,0.0,0.0,0.0,0.0
AGO,2004,0.0,20.486416,0.0,0.0,0.0,0.0
AGO,2005,0.0,24.316691000000002,0.0,0.0,0.0,0.0
