LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC,PM2.5
AUS,1990,6064.261,276.693957,438082.427,1715.4119999999998,1678.077,1603.395,10.6
AUS,1991,6079.665,278.077607,438074.634,1688.006,1660.795,1593.365,10.1
AUS,1992,6233.789,282.213441,441777.454,1735.42,1746.54,1597.303,9.9
AUS,1993,6467.664,286.269543,442307.562,1779.886,1841.1,1614.664,10.2
AUS,1994,6614.625,292.44145999999995,442635.414,1781.296,1863.377,1626.292,10.0
AUS,1995,6447.015,303.254351,451101.516,1787.086,1766.335,1607.352,9.8
AUS,1996,6626.434,313.51885500000003,457600.101,1840.35,1858.046,1574.335,10.0
AUS,1997,6639.2390000000005,321.684577,469861.1910000001,1895.588,1916.138,1571.3490000000002,10.2
AUS,1998,6260.321,342.162767,484063.135,1933.67,1836.491,1559.2779999999998,10.0
AUS,1999,6112.246999999999,348.433345,489997.209,1966.116,1929.105,1524.562,10.0
AUS,2000,5669.942,354.393183,501615.349,1973.898,2465.583,1489.9540000000002,10.2
AUS,2001,5387.827,360.869763,509482.511,2061.2200000000003,2718.519,1478.206,10.0
AUS,2002,5241.998,369.079967,513197.33,2144.054,2917.188,1493.136,10.4
AUS,2003,4727.461,368.299901,511740.157,2228.603,2915.248,1311.803,10.3
AUS,2004,4823.659,382.147603,528853.961,2283.5080000000003,2638.346,1319.806,10.5
AUS,2005,4169.975,384.640343,535616.302,2303.024,2645.026,1295.408,10.5
AUS,2006,4136.496999999999,389.9732570000001,540044.1880000001,2312.528,2604.004,1302.658,10.8
AUS,2007,3543.557,400.361936,546765.767,2320.086,2562.117,1260.063,10.8
AUS,2008,3377.911,403.467727,549154.664,2373.079,2630.592,1254.917,10.8
AUS,2009,3302.232,409.668214,552152.806,2354.132,2717.682,1266.79,10.7
AUS,2010,3128.977,412.095827,547197.5970000001,2446.666,2486.048,1249.571,10.4
AUS,2011,3072.57,409.912443,549031.928,2393.7670000000003,2619.228,1260.216,10.2
AUS,2012,3034.156,410.315808,552329.8450000001,2545.834,2628.857,1268.094,10.0
AUS,2013,2965.114,402.91313,543822.188,2615.33,2518.564,1280.448,9.9
AUS,2014,2890.621,392.729885,535474.25,2634.173,2606.188,1307.501,9.7
AUS,2015,2835.441,399.377074,544254.6669999999,2650.751,2484.984,1336.741,9.8
AUS,2016,2767.812,409.513287,552377.662,2717.378,2567.585,1309.957,9.5
AUS,2017,2914.944,411.800131,559603.856,2795.897,2380.723,1355.493,9.5
AUT,1990,1416.692,68.40268,79057.527,246.304,83.226,377.552,14.0
AUT,1991,1422.975,72.858227,82721.822,256.801,79.774,370.83,14.0
AUT,1992,1357.039,67.81299200000001,76152.51999999999,243.441,61.036,343.948,13.6
AUT,1993,1285.668,67.991954,76527.543,233.446,59.422,321.875,13.5
