LOCATION,TIME,PM25
AUS,1990,7.602
AUS,1995,7.496
AUS,2000,7.366
AUS,2005,6.91
AUS,2010,6.787
AUS,2011,6.712
AUS,2012,7.001
AUS,2013,6.965
AUS,2014,6.877
AUS,2015,6.848
AUS,2016,6.822
AUS,2017,6.673
AUS,2018,6.741
AUS,2019,6.749
AUT,1990,21.558
AUT,1995,20.368
AUT,2000,17.429
AUT,2005,16.554
AUT,2010,15.872
AUT,2011,16.252
AUT,2012,14.63
AUT,2013,14.622
AUT,2014,12.913
AUT,2015,13.453
AUT,2016,12.391
AUT,2017,12.023
AUT,2018,12.385
AUT,2019,12.225
BEL,1990,21.014
BEL,1995,19.684
BEL,2000,17.751
BEL,2005,15.901
BEL,2010,16.982
BEL,2011,16.243
BEL,2012,15.201
BEL,2013,14.305
BEL,2014,12.908
BEL,2015,13.265
BEL,2016,12.437
BEL,2017,12.891
BEL,2018,12.82
BEL,2019,12.726
CAN,1990,10.076
CAN,1995,9.731
CAN,2000,9.204
CAN,2005,9.02
CAN,2010,7.902
CAN,2011,7.349
CAN,2012,7.611
CAN,2013,7.282
CAN,2014,7.498
CAN,2015,7.283
CAN,2016,6.207
CAN,2017,7.278
CAN,2018,7.073
CAN,2019,7.09
CZE,1990,26.573
CZE,1995,25.409
CZE,2000,21.636
CZE,2005,21.158
CZE,2010,20.619
CZE,2011,20.929
CZE,2012,19.194
CZE,2013,18.865
CZE,2014,18.334
CZE,2015,17.808
CZE,2016,16.886
CZE,2017,16.919
CZE,2018,17.166
CZE,2019,16.965
DNK,1990,16.065
DNK,1995,14.339
DNK,2000,14.558
DNK,2005,13.083
DNK,2010,13.351
DNK,2011,13.617
DNK,2012,10.866
DNK,2013,10.488
DNK,2014,11.056
DNK,2015,10.185
DNK,2016,9.302
DNK,2017,10.288
DNK,2018,9.873
DNK,2019,9.785
FIN,1990,8.806
FIN,1995,8.079
FIN,2000,7.646
FIN,2005,7.206
FIN,2010,7.353
FIN,2011,7.17
FIN,2012,6.484
FIN,2013,6.099
FIN,2014,6.49
FIN,2015,5.719
FIN,2016,5.68
FIN,2017,5.334
FIN,2018,5.675
FIN,2019,5.638
FRA,1990,18.15
FRA,1995,16.877
FRA,2000,15.939
FRA,2005,14.768
FRA,2010,14.861
FRA,2011,14.78
FRA,2012,13.529
FRA,2013,13.448
FRA,2014,11.509
FRA,2015,12.232
FRA,2016,11.439
FRA,2017,11.387
FRA,2018,11.492
FRA,2019,11.367
DEU,1990,20.769
DEU,1995,18.865
DEU,2000,16.606
DEU,2005,15.24
DEU,2010,16.254
DEU,2011,15.741
DEU,2012,13.952
DEU,2013,13.716
DEU,2014,12.374
DEU,2015,12.858
DEU,2016,11.899
DEU,2017,12.007
DEU,2018,12.048
DEU,2019,11.928
GRC,1990,19.611
GRC,1995,19.263
GRC,2000,20.779
GRC,2005,19.238
GRC,2010,19.152
GRC,2011,19.81
GRC,2012,17.438
GRC,2013,16.77
GRC,2014,15.799
GRC,2015,16.155
GRC,2016,14.54
GRC,2017,14.511
GRC,2018,14.586
GRC,2019,14.32
HUN,1990,25.466
HUN,1995,25.025
HUN,2000,21.5
HUN,2005,20.405
HUN,2010,20.212
HUN,2011,20.937
HUN,2012,18.586
HUN,2013,17.641
HUN,2014,17.676
HUN,2015,17.688
HUN,2016,15.855
HUN,2017,16.698
HUN,2018,16.743
HUN,2019,16.596
ISL,1990,7.713
ISL,1995,7.322
ISL,2000,7.711
ISL,2005,7.475
ISL,2010,7.343
ISL,2011,7.57
ISL,2012,6.903
ISL,2013,6.792
ISL,2014,6.624
ISL,2015,6.504
ISL,2016,6.096
ISL,2017,6.376
ISL,2018,6.363
ISL,2019,6.374
IRL,1990,12.395
IRL,1995,11.586
IRL,2000,11.011
IRL,2005,10.459
IRL,2010,9.881
IRL,2011,10.056
IRL,2012,9.145
IRL,2013,8.78
IRL,2014,8.513
IRL,2015,8.376
IRL,2016,7.833
IRL,2017,7.657
IRL,2018,7.91
IRL,2019,7.848
ITA,1990,25.912
ITA,1995,24.331
ITA,2000,23.864
ITA,2005,21.213
ITA,2010,20.088
ITA,2011,21.195
ITA,2012,18.635
ITA,2013,17.911
ITA,2014,16.909
ITA,2015,17.81
ITA,2016,15.557
ITA,2017,15.875
ITA,2018,16.033
ITA,2019,15.848
JPN,1990,13.392
JPN,1995,12.999
JPN,2000,12.984
JPN,2005,12.22
JPN,2010,11.717
JPN,2011,12.885
JPN,2012,13.317
JPN,2013,13.575
JPN,2014,13.924
JPN,2015,13.601
JPN,2016,13.544
JPN,2017,13.761
JPN,2018,13.658
JPN,2019,13.647
KOR,1990,25.145
KOR,1995,24.394
KOR,2000,24.251
KOR,2005,23.574
KOR,2010,22.903
KOR,2011,25.516
KOR,2012,25.842
KOR,2013,27.57
KOR,2014,28.209
KOR,2015,27.004
KOR,2016,27.828
KOR,2017,26.901
KOR,2018,27.448
KOR,2019,27.447
LUX,1990,16.168
LUX,1995,14.949
LUX,2000,13.148
LUX,2005,12.561
LUX,2010,13.202
LUX,2011,12.862
LUX,2012,11.515
LUX,2013,11.921
LUX,2014,10.16
LUX,2015,10.628
LUX,2016,9.933
LUX,2017,9.855
LUX,2018,10.154
LUX,2019,10.089
MEX,1990,33.591
MEX,1995,32.71
MEX,2000,30.248
MEX,2005,23.122
MEX,2010,21.484
MEX,2011,24.59
MEX,2012,22.704
MEX,2013,23.508
MEX,2014,21.961
MEX,2015,22.042
MEX,2016,21.213
MEX,2017,20.365
MEX,2018,20.361
MEX,2019,20.108
NLD,1990,19.78
NLD,1995,18.409
NLD,2000,16.793
NLD,2005,15.3
NLD,2010,15.71
NLD,2011,15.51
NLD,2012,13.819
NLD,2013,12.734
NLD,2014,12.192
NLD,2015,12.651
NLD,2016,11.523
NLD,2017,12.423
NLD,2018,12.073
NLD,2019,12.033
NZL,1990,6.821
NZL,1995,6.766
NZL,2000,6.757
NZL,2005,6.354
NZL,2010,6.294
NZL,2011,6.105
NZL,2012,6.228
NZL,2013,6.257
NZL,2014,6.049
NZL,2015,6.004
NZL,2016,6.078
NZL,2017,5.984
NZL,2018,6.035
NZL,2019,6.05
NOR,1990,11.282
NOR,1995,10.175
NOR,2000,10.138
NOR,2005,8.229
NOR,2010,8.174
NOR,2011,9.14
NOR,2012,7.62
NOR,2013,7.345
NOR,2014,7.497
NOR,2015,7.066
NOR,2016,6.639
NOR,2017,6.689
NOR,2018,6.726
NOR,2019,6.668
POL,1990,33.484
POL,1995,32.434
POL,2000,27.979
POL,2005,26.998
POL,2010,27.365
POL,2011,27.158
POL,2012,24.682
POL,2013,23.776
POL,2014,24.017
POL,2015,22.865
POL,2016,21.916
POL,2017,22.89
POL,2018,22.865
POL,2019,22.766
PRT,1990,11.255
PRT,1995,10.894
PRT,2000,11.581
PRT,2005,10.778
PRT,2010,9.773
PRT,2011,10.45
PRT,2012,9.14
PRT,2013,8.828
PRT,2014,8.658
PRT,2015,8.804
PRT,2016,7.828
PRT,2017,8.396
PRT,2018,8.216
PRT,2019,8.176
SVK,1990,27.531
SVK,1995,27.038
SVK,2000,22.937
SVK,2005,22.393
SVK,2010,21.662
SVK,2011,22.805
SVK,2012,20.519
SVK,2013,19.813
SVK,2014,19.487
SVK,2015,19.284
SVK,2016,18.03
SVK,2017,18.41
SVK,2018,18.659
SVK,2019,18.526
ESP,1990,13.996
ESP,1995,12.759
ESP,2000,14.039
ESP,2005,12.668
ESP,2010,11.795
ESP,2011,12.742
ESP,2012,11.463
ESP,2013,10.628
ESP,2014,10.09
ESP,2015,10.819
ESP,2016,9.82
ESP,2017,10.022
ESP,2018,10.033
ESP,2019,9.993
SWE,1990,9.543
SWE,1995,8.6
SWE,2000,8.564
SWE,2005,7.394
SWE,2010,7.558
SWE,2011,7.615
SWE,2012,6.285
SWE,2013,6.281
SWE,2014,6.558
SWE,2015,5.965
SWE,2016,5.531
SWE,2017,5.781
SWE,2018,5.767
SWE,2019,5.721
CHE,1990,18.277
CHE,1995,16.984
CHE,2000,15.073
CHE,2005,13.239
CHE,2010,13.328
CHE,2011,13.989
CHE,2012,12.882
CHE,2013,12.64
CHE,2014,10.748
CHE,2015,11.739
CHE,2016,10.733
CHE,2017,9.986
CHE,2018,10.291
CHE,2019,10.044
GBR,1990,17.021
GBR,1995,16.001
GBR,2000,14.764
GBR,2005,13.24
GBR,2010,12.388
GBR,2011,12.951
GBR,2012,11.389
GBR,2013,11.367
GBR,2014,10.828
GBR,2015,10.323
GBR,2016,10.153
GBR,2017,10.287
GBR,2018,10.104
GBR,2019,10.022
USA,1990,13.191
USA,1995,12.73
USA,2000,11.959
USA,2005,10.942
USA,2010,9.231
USA,2011,9.272
USA,2012,8.882
USA,2013,8.655
USA,2014,8.445
USA,2015,8.178
USA,2016,7.391
USA,2017,7.758
USA,2018,7.788
USA,2019,7.676
G7M,1990,15.897
G7M,1995,15.06
G7M,2000,14.126
G7M,2005,12.96
G7M,2010,11.957
G7M,2011,12.217
G7M,2012,11.498
G7M,2013,11.337
G7M,2014,10.877
G7M,2015,10.842
G7M,2016,10.082
G7M,2017,10.369
G7M,2018,10.365
G7M,2019,10.271
AFG,1990,49.345
AFG,1995,48.589
AFG,2000,52.234
AFG,2005,46.604
AFG,2010,52.496
AFG,2011,57.1
AFG,2012,55.466
AFG,2013,59.623
AFG,2014,62.722
AFG,2015,61.412
AFG,2016,57.966
AFG,2017,54.031
AFG,2018,53.432
AFG,2019,52.998
ALB,1990,24.515
ALB,1995,23.833
ALB,2000,24.176
ALB,2005,21.985
ALB,2010,21.557
ALB,2011,23.314
ALB,2012,21.456
ALB,2013,19.939
ALB,2014,19.817
ALB,2015,19.425
ALB,2016,17.691
ALB,2017,18.869
ALB,2018,18.66
ALB,2019,18.46
DZA,1990,29.82
DZA,1995,31.741
DZA,2000,35.611
DZA,2005,34.118
DZA,2010,32.14
DZA,2011,31.689
DZA,2012,32.7
DZA,2013,30.513
DZA,2014,32.01
DZA,2015,33.601
DZA,2016,32.901
DZA,2017,32.665
DZA,2018,32.761
DZA,2019,32.916
AGO,1990,29.884
AGO,1995,28.372
AGO,2000,28.148
AGO,2005,28.515
AGO,2010,28.961
AGO,2011,29.054
AGO,2012,29.279
AGO,2013,29.513
AGO,2014,28.475
AGO,2015,29.276
AGO,2016,29.265
AGO,2017,28.052
AGO,2018,28.317
AGO,2019,28.022
ARG,1990,16.008
ARG,1995,15.854
ARG,2000,14.471
ARG,2005,13.612
ARG,2010,14.054
ARG,2011,14.527
ARG,2012,13.685
ARG,2013,15.069
ARG,2014,14.115
ARG,2015,14.937
ARG,2016,14.452
ARG,2017,13.952
ARG,2018,13.973
ARG,2019,13.847
ARM,1990,33.08
ARM,1995,32.711
ARM,2000,31.619
ARM,2005,32.419
ARM,2010,36.201
ARM,2011,40.795
